country,NObs
IRN,12.4
HUN,21.0
MNG,15.0
ECU,12.7
ALB,4.0
BLR,5.0
DNK,22.0
DEU,19.5
EST,20.0
BEL,25.0
AUT,14.0
JPN,34.0
PER,29.0
SWE,20.0
THA,17.8
VNM,12.4
USA,36.0
URY,3.0
BIH,12.0
KOR,28.7
IND,31.3
HRV,14.0
NLD,19.0
PRY,9.0
COL,31.8
CZE,20.0
GEO,8.0
ITA,28.0
ARE,8.0
EGY,2.7
NOR,17.0
SRB,2.0
GBR,23.0
IDN,24.4
FRA,29.8
AUS,30.0
MOZ,9.0
LVA,9.8
CHN,36.0
HND,12.8
CHL,27.5
UZB,10.0
BRA,27.9
NZL,12.0
ROU,19.0
GTM,4.0
KAZ,16.0
ZAF,17.0
ESP,28.0
MEX,36.0
SVN,15.0
IRL,18.8
CHE,6.0
KEN,21.0
TZA,12.9
ARG,15.2
MYS,10.0
CAN,28.0
AZE,10.0
GRC,22.0
BOL,26.0
BGR,14.0
ETH,6.0
LAO,4.0
PAK,25.0
PAN,14.0
POL,19.0
PRT,15.0
MAR,4.0
RUS,17.9
SVK,19.0
TUR,30.6
KGZ,9.0
LTU,13.0
FIN,37.0
UKR,19.0
